senateur_ref,depuis
21071F,2023-09-24
14133K,2020-09-27
20032T,2020-09-27
21042A,2023-09-24
19760E,2023-09-24
14189C,2020-09-27
19631V,2023-09-24
20112S,2020-09-27
20076G,2020-09-27
21084L,2023-09-24
21460Q,
19667J,2023-09-24
21035B,2023-09-24
20024T,2020-09-27
21125C,2024-03-17
20022R,2020-09-27
19954N,2023-09-24
20110Q,2020-09-27
19575F,2020-09-27
21514M,
20116W,2020-09-27
14030Q,2020-09-27
21043B,2023-09-24
17367Q,2020-09-27
21048G,2023-09-24
20086J,2020-09-27
20094J,2020-09-27
21050A,2023-09-24
21584C,
19367Y,2023-09-24
14069U,2020-09-27
20042V,2020-09-27
08060W,2020-09-27
20078J,2020-09-27
20138D,2020-09-27
20088L,2020-09-27
21046E,2023-09-24
20114U,2020-09-27
18045D,
19383Y,2023-09-24
17737W,2020-09-27
21052C,2023-09-24
21404G,
20080C,2020-09-27
19621T,2023-09-24
21088Q,2023-09-24
21089R,2023-09-24
19758L,2020-09-27
21063F,2023-09-24
19782L,2020-09-27
20090E,2020-09-27
21096Q,2023-09-24
14207L,2020-09-27
20104S,2020-09-27
14255U,2021-09-26
21083K,2023-09-24
04042C,2023-09-24
21045D,2023-09-24
14053L,2020-09-27
14083S,2020-09-27
11053K,2023-09-24
19545Y,2023-09-24
20060X,2020-09-27
12028B,2020-09-27
19629C,2023-09-24
21090J,2023-09-24
19721W,2020-09-27
19057M,2021-09-26
21057H,2023-09-24
14329V,2023-09-24
14038Y,2020-09-27
20264J,2021-09-26
14195A,2020-09-27
08028W,2020-09-27
20144B,2020-09-27
21065H,2023-09-24
18083K,2023-09-24
14267Y,2023-09-24
21072G,2023-09-24
19295A,2023-09-24
11027H,2023-09-24
21034A,2023-09-24
19681G,2023-09-24
11115U,2023-09-24
20070A,2020-09-27
11056N,2023-09-24
14357A,2023-09-24
18395Y,2023-09-24
11065P,2023-09-24
19693L,2023-09-24
14259Y,2020-09-27
21067K,2023-09-24
21041Y,2023-09-24
04008A,2023-09-24
19701S,2023-09-24
19649G,2023-09-24
19735D,2020-09-27
08034U,2020-09-27
20142Y,2020-09-27
08011M,2020-09-27
14169X,2020-09-27
11070L,2023-09-24
19719D,2020-09-27
14327T,2020-09-27
20140W,2020-09-27
17229F,2020-09-27
14217N,2020-09-27
20248J,
19251M,2020-09-27
15197G,2023-09-24
14215L,2020-09-27
14042U,2023-09-24
20134Y,2020-09-27
20124W,2020-09-27
20040T,2020-09-27
07033P,2023-09-24
20074E,2020-09-27
19507S,2023-09-24
14249W,2014-09-28
21074J,2023-09-24
11074Q,2023-09-24
11110B,2023-09-24
14187A,2020-09-27
19673G,2023-09-24
21091K,2023-09-24
21062E,2023-09-24
21086N,2023-09-24
20038A,2020-09-27
19647E,2023-09-24
14281W,2020-09-27
20100N,2020-09-27
20132W,2020-09-27
08045X,2020-09-27
19111A,2023-09-24
17023S,2020-09-27
21033Y,2023-09-24
08018U,2021-09-26
20286Q,2023-09-24
20172F,2023-09-24
19695N,2023-09-24
20120S,2020-09-27
14355X,2020-09-27
19820Y,2020-09-27
21032X,2025-09-14
19387D,2023-09-24
19347U,2023-09-24
20180F,2023-09-24
07004J,2023-09-24
08056B,2020-09-27
14211G,2020-09-27
19565D,2023-09-24
14033T,2020-09-27
14123H,2020-09-27
21066J,2023-09-24
14026U,2020-09-27
20068G,2020-09-27
21092L,2023-09-24
19691J,2023-09-24
20072C,2020-09-27
19725B,2020-09-27
20106U,2020-09-27
20128B,2020-09-27
19569H,2023-09-24
14179A,2020-09-27
19685L,2023-09-24
20048C,2020-09-27
21085M,2023-09-24
08069G,2020-09-27
21415K,
19399H,2023-09-24
11048N,2023-09-24
19591F,2023-09-24
14213J,2020-09-27
20066E,2020-09-27
20034V,2020-09-27
19551W,2023-09-24
21093M,2023-09-24
14121F,2020-09-27
19531S,2023-09-24
19683J,2023-09-24
21044C,2023-09-24
20056C,2020-09-27
14097Y,2020-09-27
19447X,2023-09-24
14241N,2014-09-28
95041E,2020-09-27
14021P,2023-09-24
99004R,2023-09-24
14073Q,2020-09-27
19489J,2023-09-24
21081H,2023-09-24
20126Y,2020-09-27
20016T,2020-09-27
19611R,2023-09-24
20102Q,2020-09-27
07029T,2020-09-27
21078N,2023-09-24
86034E,2023-09-24
19723Y,2020-09-27
19699S,2023-09-24
08015R,2020-09-27
19711U,2023-09-24
19709B,2023-09-24
18193Q,2020-09-27
20108W,2020-09-27
08010L,2020-09-27
14037X,2020-09-27
21087P,2023-09-24
19729F,2020-09-27
20052X,2020-09-27
19697Q,2023-09-24
18207D,2023-09-24
14205J,2020-09-27
14219Q,2020-09-27
14059S,2020-09-27
21054E,2023-09-24
08012N,2020-09-27
17779H,2023-09-24
12016W,2023-09-24
19657G,2023-09-24
14251Q,2020-09-27
14031R,2020-09-27
14111D,2020-09-27
21075K,2023-09-24
21486B,
14001X,2020-09-27
11085T,2023-09-24
19826F,2020-09-27
21058J,2023-09-24
21040X,2023-09-24
21512K,
08009T,2020-09-27
14221J,2020-09-27
20252E,2023-09-24
21073H,2023-09-24
19563B,2023-09-24
14147R,2020-09-27
20028X,2020-09-27
21080G,2023-09-24
20018V,2020-09-27
14223L,2020-09-27
04092N,2020-09-27
19335Q,2023-09-24
11072N,2023-09-24
14109K,2020-09-27
14257W,2020-09-27
04070G,2020-09-27
14071N,2020-09-27
21534R,
20096L,2020-09-27
21097R,2023-09-24
18231D,2023-09-24
21029D,2023-09-24
21039F,2023-09-24
19768N,2020-09-27
14253S,2020-09-27
21037D,2023-09-24
19331L,2023-09-24
21060C,2023-09-24
19593H,2023-09-24
19573D,2023-09-24
21592C,
19866P,2023-09-24
14191V,2020-09-27
20050V,2020-09-27
20036X,2020-09-27
08073C,2020-09-27
21421H,
08047A,2020-09-27
21055F,2023-09-24
14237S,2020-09-27
21047F,2023-09-24
14193X,2020-09-27
19745F,2020-09-27
20148F,2020-09-27
20146D,2020-09-27
19533U,2023-09-24
21053D,2023-09-24
20030R,2020-09-27
20118Y,2020-09-27
05012A,2020-09-27
20130U,2020-09-27
17965H,2020-09-27
11090Q,2023-09-24
19679N,2023-09-24
19349W,2023-09-24
14331P,2023-09-24
14055N,2020-09-27
14225N,2020-09-27
20082E,2020-09-27
19705W,2023-09-24
04033B,2020-09-27
21068L,2023-09-24
21038E,2023-09-24
19798U,2020-09-27
20054A,2020-09-27
14229S,2020-09-27
21070E,2023-09-24
20150Y,2020-09-27
21056G,2023-09-24
20020P,2020-09-27
21064G,2023-09-24
21059K,2023-09-24
11045K,2023-09-24
14107H,2020-09-27
21036C,2023-09-24
19619A,2023-09-24
20092G,2020-09-27
19421M,2023-09-24
20044X,2020-09-27
11043H,2023-09-24
19687N,2023-09-24
20098N,2020-09-27
04045F,2020-09-27
21510H,
21079P,2023-09-24
01058X,2023-09-24
21049H,2023-09-24
19703U,2023-09-24
19713W,2023-09-24
20062A,2020-09-27
21094N,2023-09-24
20084G,2020-09-27
21069M,2023-09-24
21095P,2023-09-24
19669L,2023-09-24
14275Y,2020-09-27
19301E,2023-09-24
19413M,2023-09-24
21051B,2023-09-24
21061D,2023-09-24
20064C,2020-09-27
20046A,2020-09-27
21031W,2023-09-24
20026V,2020-09-27
19749K,2020-09-27
19479G,2023-09-24
20058E,2020-09-27
21416L,
14173T,2020-09-27
21076L,2023-09-24
20266L,2021-09-26
19585H,2023-09-24
21082J,2023-09-24
21030V,2023-09-24
21077M,2023-09-24
