senateur_ref,slug
01024M,detraigne_yves01024m
01025N,ferat_francoise01025n
01028R,sueur_jean_pierre01028r
01034P,vanlerenberghe_jean_marie01034p
01043Q,letard_valerie01043q
01048V,longuet_gerard01048v
01057W,guene_charles01057w
01058X,sido_bruno01058x
01060R,masson_jean_louis01060r
01062T,todeschini_jean_marc01062t
04008A,daubresse_marc_philippe04008a
04033B,retailleau_bruno04033b
04034C,yung_richard04034c
04035D,garriaud_maylam_joelle04035d
04042C,cambon_christian04042c
04043D,procaccia_catherine04043d
04045F,schillinger_patricia04045f
04047H,buffet_francois_noel04047h
04057K,melot_colette04057k
04059M,assouline_david04059m
04070G,morin_desailly_catherine04070g
04071H,dominati_philippe04071h
04085P,assassi_eliane04085p
04086Q,dallier_philippe04086q
04092N,milon_alain04092n
05008E,bas_philippe05008e
05012A,pointereau_remy05012a
07004J,goulet_nathalie07004j
07029T,lamenie_marc07029t
07033P,dumas_catherine07033p
08009T,maurey_herve08009t
08010L,lefevre_antoine08010l
08011M,de_montgolfier_alberic08011m
08012N,lozach_jean_jacques08012n
08015R,laurent_daniel08015r
08017T,lepage_claudine08017t
08018U,frassa_christophe_andre08018u
08028W,chatillon_alain08028w
08034U,de_legge_dominique08034u
08045X,fichet_jean_luc08045x
08047A,paul_philippe08047a
08056B,goy_chavent_sylvie08056b
08060W,bonnefoy_nicole08060w
08061X,patriat_francois08061x
08069G,houpert_alain08069g
08073C,patient_georges08073c
10006L,deroche_catherine10006l
10015M,reichardt_andre10015m
11010L,frogier_pierre11010l
11012A,requier_jean_claude11012a
11026G,leconte_jean_yves11026g
11027H,conway_mouret_helene11027h
11031D,cohen_laurence11031d
11033F,benbassa_esther11033f
11040E,bocquet_eric11040e
11041F,vallini_andre11041f
11043H,savin_michel11043h
11045K,rossignol_laurence11045k
11048N,husson_jean_francois11048n
11053K,capo_canellas_vincent11053k
11054L,roger_gilbert11054l
11056N,cukierman_cecile11056n
11064N,guerriau_joel11064n
11065P,dantec_ronan11065p
11066Q,vaugrenard_yannick11066q
11067R,meunier_michelle11067r
11070L,delahaye_vincent11070l
11072N,mohamed_soilihi_thani11072n
11074Q,eble_vincent11074q
11077T,lienemann_marie_noelle11077t
11080N,charon_pierre11080n
11083R,gattolin_andre11083r
11085T,marseille_herve11085t
11090Q,primas_sophie11090q
11097X,savary_rene_paul11097x
11099A,labbe_joel11099a
11101A,calvet_francois11101a
11103C,cardoux_jean_noel11103c
11104D,magner_jacques_bernard11104d
11109J,antiste_maurice11109j
11110B,espagnac_frederique11110b
11115U,courtial_edouard11115u
12016W,lurel_victorin12016w
12028B,carlotti_marie_arlette12028b
12041X,laurent_pierre12041x
14001X,marie_didier14001x
14021P,kanner_patrick14021p
14026U,gruny_pascale14026u
14030Q,billon_annick14030q
14031R,mandelli_didier14031r
14033T,gremillet_daniel14033t
14037X,lemoyne_jean_baptiste14037x
14038Y,chaize_patrick14038y
14041T,deromedi_jacky14041t
14042U,doineau_elisabeth14042u
14053L,canayer_agnes14053l
14055N,ravier_stephane14055n
14059S,lopez_vivette14059s
14069U,bonhomme_francois14069u
14071N,mouiller_philippe14071n
14073Q,kern_claude14073q
14083S,canevet_michel14083s
14089Y,bonnecarrere_philippe14089y
14097Y,jourda_gisele14097y
14105F,bouchet_gilbert14105f
14107H,roux_jean_yves14107h
14109K,monier_marie_pierre14109k
14111D,marc_alain14111d
14121F,jeansannetas_eric14121f
14123H,grosperrin_jacques14123h
14133K,allizard_pascal14133k
14147R,mercier_marie14147r
14151M,durain_jerome14151m
14169X,de_nicolay_louis_jean14169x
14173T,vogel_jean_pierre14173t
14179A,herve_loic14179a
14187A,estrosi_sassone_dominique14187a
14189C,arnaud_jean_michel14189c
14191V,panunzi_jean_jacques14191v
14193X,perrin_cedric14193x
14195A,chasseing_daniel14195a
14205J,loisier_anne_catherine14205j
14207L,cabanel_henri14207l
14211G,grand_jean_pierre14211g
14213J,imbert_corinne14213j
14215L,di_folco_catherine14215l
14217N,deseyne_chantal14217n
14219Q,longeot_jean_francois14219q
14221J,medevielle_pierre14221j
14223L,micouleau_brigitte14223l
14225N,raynal_claude14225n
14229S,robert_sylvie14229s
14231L,gatel_francoise14231l
14237S,pellevat_cyril14237s
14241N,jouve_mireille14241n
14249W,duranton_nicole14249w
14251Q,malhuret_claude14251q
14253S,nougein_claude14253s
14255U,cadic_olivier14255u
14257W,montauge_franck14257w
14259Y,darnaud_mathieu14259y
14267Y,cigolotti_olivier14267y
14275Y,tetuanui_lana14275y
14281W,feret_corinne14281w
14327T,delcros_bernard14327t
14329V,chain_larche_anne14329v
14331P,rapin_jean_francois14331p
14355X,gerbaud_frederique14355x
14357A,cuypers_pierre14357a
15197G,dhersin_franck15197g
16685X,le_nay_jacques16685x
17023S,folliot_philippe17023s
17229F,demilly_stephane17229f
17367Q,blanc_etienne17367q
17583W,priou_christophe17583w
17589D,decool_jean_pierre17589d
17637T,pemezec_philippe17637t
17737W,boyer_valerie17737w
17779H,lubin_monique17779h
17965H,poumirol_emilienne17965h
18045D,bourguignon_brigitte18045d
18083K,chevrollier_guillaume18083k
18193Q,le_houerou_annie18193q
18207D,linkenheld_audrey18207d
18231D,narassiguin_corinne18231d
18395Y,daniel_karine18395y
19057M,cazebonne_samantha19057m
19111A,florennes_isabelle19111a
19251M,devinaz_gilbert_luc19251m
19265T,lecornu_sebastien19265t
19289C,leonhardt_olivier19289c
19295A,conconne_catherine19295a
19301E,theophile_dominique19301e
19319Q,poadja_gerard19319q
19329S,hassani_abdallah19329s
19331L,omar_oili_said19331l
19333N,houllegatte_jean_michel19333n
19335Q,mizzon_jean_marie19335q
19347U,gontard_guillaume19347u
19349W,rambaud_didier19349w
19367Y,bonfanti_dossat_christine19367y
19369B,moga_jean_pierre19369b
19383Y,boyer_jean_marc19383y
19387D,gold_eric19387d
19399H,hugonet_jean_raymond19399h
19413M,tissot_jean_claude19413m
19415P,bonne_bernard19415p
19421M,saury_hugues19421m
19441R,louault_pierre19441r
19443T,raimond_pavero_isabelle19443t
19447X,jourda_muriel19447x
19467C,chauvin_marie_christine19467c
19479G,vermeillet_sylvie19479g
19489J,kerrouche_eric19489j
19503N,preville_angele19503n
19507S,duplomb_laurent19507s
19511N,janssens_jean_marie19511n
19515S,babary_serge19515s
19521Q,fournier_catherine19521q
19525U,dagbert_michel19525u
19527W,van_heghe_sabine19527w
19531S,joly_patrice19531s
19533U,piednoir_stephane19533u
19543W,de_belenet_arnaud19543w
19545Y,capus_emmanuel19545y
19549D,bigot_joel19549d
19551W,jacquin_olivier19551w
19553Y,guillotin_veronique19553y
19563B,menonville_franck19563b
19565D,greaume_michelle19565d
19569H,henno_olivier19569h
19573D,paccaud_olivier19573d
19575F,berthet_martine19575f
19577H,dindar_nassimah19577h
19581D,lherbier_brigitte19581d
19583F,lagourgue_jean_louis19583f
19585H,wattebled_dany19585h
19591F,iacovelli_xavier19591f
19593H,ouzoulias_pierre19593h
19599P,filleul_martine19599p
19611R,lafon_laurent19611r
19619A,saint_pe_denise19619a
19621T,brisson_max19621t
19629C,carrere_maryse19629c
19631V,artigalas_viviane19631v
19637C,marchand_frederic19637c
19643A,boulay_esperonnier_celine19643a
19647E,feraud_remi19647e
19649G,de_la_gontrie_marie_pierre19649g
19651A,bargeton_julien19651a
19657G,malet_viviane19657g
19659J,dennemont_michel19659j
19663E,delmont_koropoulis_annie19663e
19667J,bazin_arnaud19667j
19669L,temal_rachid19669l
19671E,meurant_sebastien19671e
19673G,eustache_brinio_jacqueline19673g
19675J,thomas_claudine19675j
19679N,puissat_frederique19679n
19681G,corbisez_jean_pierre19681g
19683J,jomier_bernard19683j
19685L,herzog_christine19685l
19687N,savoldelli_pascal19687n
19689Q,taille_polian_sophie19689q
19691J,guidez_jocelyne19691j
19693L,darcos_laure19693l
19695N,gay_fabien19695n
19697Q,levrier_martin19697q
19699S,laugier_michel19699s
19701S,de_cidrac_marta19701s
19703U,sol_jean19703u
19705W,renaud_garabedian_evelyne19705w
19707Y,bansard_jean_pierre19707y
19709B,le_gleut_ronan19709b
19711U,lavarde_christine19711u
19713W,sollogoub_nadia19713w
19715Y,jasmin_victoire19715y
19717B,artano_stephane19717b
19719D,delattre_nathalie19719d
19721W,cazabonne_alain19721w
19723Y,lassarade_florence19723y
19725B,harribey_laurence19725b
19729F,leroy_henri19729f
19735D,de_la_provote_sonia19735d
19739H,prince_jean_paul19739h
19741B,bascher_jerome19741b
19745F,perrot_evelyne19745f
19747H,bouloux_yves19747h
19749K,verien_dominique19749k
19758L,brulin_celine19758l
19760E,apourceau_poly_cathy19760e
19762G,segouin_vincent19762g
19766L,regnard_damien19766l
19768N,noel_sylviane19768n
19782L,buis_bernard19782l
19798U,richer_marie_pierre19798u
19820Y,gille_herve19820y
19826F,martin_pascal19826f
19866P,pantel_guylene19866p
19954N,belrhiti_catherine19954n
19966S,bore_patrick19966s
20016T,kulimoetoke_mikaele20016t
20018V,michau_jean_jacques20018v
20020P,rojouan_bruno20020p
20022R,bellurot_nadine20022r
20024T,belin_bruno20024t
20026V,ventalon_anne20026v
20028X,merillou_serge20028x
20030R,pla_sebastien20030r
20032T,anglars_jean_claude20032t
20034V,jacques_micheline20034v
20036X,parigi_paul_toussaint20036x
20038A,favreau_gilbert20038a
20040T,duffourg_alain20040t
20042V,bonneau_francois20042v
20044X,sautarel_stephane20044x
20046A,varaillas_marie_claude20046a
20048C,hingray_jean20048c
20050V,paoli_gagin_vanina20050v
20052X,levi_pierre_antoine20052x
20054A,rietmann_olivier20054a
20056C,joseph_else20056c
20058E,vial_cedric20058e
20060X,cardon_remi20060x
20062A,somon_laurent20062a
20064C,vallet_mickael20064c
20066E,jacquemet_annick20066e
20068G,gueret_daniel20068g
20070A,cozic_thierry20070a
20072C,guiol_andre20072c
20074E,dumont_francoise20074e
20076G,bacci_jean20076g
20078J,bonnus_michel20078j
20080C,briquet_isabelle20080c
20082E,redon_sarrazy_christian20082e
20084G,stanzione_lucien20084g
20086J,blanc_jean_baptiste20086j
20088L,bouad_denis20088l
20090E,burgoa_laurent20090e
20092G,salmon_daniel20092g
20094J,blatrix_contat_florence20094j
20096L,muller_bronn_laurence20096l
20098N,schalck_elsa20098n
20100N,fernique_jacques20100n
20102Q,lahellec_gerard20102q
20104S,cadec_alain20104s
20106U,havet_nadege20106u
20108W,le_rudulier_stephane20108w
20110Q,benarroche_guy20110q
20112S,bacchi_jeremy20112s
20114U,bourgi_hussein20114u
20116W,bilhac_christian20116w
20118Y,pluchet_kristina20118y
20120S,genet_fabien20120s
20122U,verzelen_pierre_jean20122u
20124W,drexler_sabine20124w
20126Y,klinger_christian20126y
20128B,haye_ludovic20128b
20130U,poncet_monge_raymonde20130u
20132W,fialaire_bernard20132w
20134Y,dossus_thomas20134y
20136B,tabarot_philippe20136b
20138D,borchio_fontimp_alexandra20138d
20140W,demas_patricia20140w
20142Y,de_marco_monique20142y
20144B,chauvet_patrick20144b
20146D,phinera_horth_marie_laure20146d
20148F,petrus_annick20148f
20150Y,rohfritsch_teva20150y
20152B,bourrat_toine20152b
20172F,garnier_laurence20172f
20174H,evrard_marie20174h
20180F,gosselin_beatrice20180f
20248J,devesa_brigitte20248j
20252E,meignen_thierry20252e
20264J,chantrel_yan20264j
20266L,vogel_melanie20266l
20286Q,gacquerre_amel20286q
20298U,ract_madoux_daphne20298u
20914V,breuiller_daniel20914v
20980G,del_fabro_veronique20980g
21029D,naturel_georges21029d
21030V,xowie_robert_wienie21030v
21031W,vayssouze_faure_jean_marc21031w
21032X,girardin_annick21032x
21033Y,fouassin_stephane21033y
21034A,corbiere_naminzo_evelyne21034a
21035B,belim_audrey21035b
21036C,ruelle_jean_luc21036c
21037D,ollivier_mathilde21037d
21038E,richard_olivia21038e
21039F,nedelec_anne_marie21039f
21040X,masset_michel21040x
21041Y,daubet_raphael21041y
21042A,antoine_jocelyne21042a
21043B,bitz_olivier21043b
21044C,josende_lauriane21044c
21045D,canales_marion21045d
21046E,bourcier_corinne21046e
21047F,pernot_clement21047f
21048G,blanc_gregory21048g
21049H,silvani_silvana21049h
21050A,bleunven_yves21050a
21051B,uzenat_simon21051b
21052C,brault_jean_luc21052c
21053D,pillefer_bernard21053d
21054E,louault_vincent21054e
21055F,paumier_jean_gerard21055f
21056G,roiron_pierre_alain21056g
21057H,chaillou_christophe21057h
21058J,martin_pauline21058j
21059K,ros_david21059k
21060C,ouizille_alexandre21060c
21061D,valente_le_hir_sylvie21061d
21062E,fagnen_sebastien21062e
21063F,bruyen_christian21063f
21064G,romagny_anne_sophie21064g
21065H,chevalier_cedric21065h
21066J,grosvalet_philippe21066j
21067K,darras_jerome21067k
21068L,reynaud_herve21068l
21069M,szczurek_christopher21069m
21070E,rochette_pierre_jean21070e
21071F,aeschlimann_marie_do21071f
21072G,ciuntu_marie_carole21072g
21073H,mellouli_akli21073h
21074J,durox_aymeric21074j
21075K,margate_marianne21075k
21076L,vogel_louis21076l
21077M,ziane_adel21077m
21078N,laouedj_ahmed21078n
21079P,senee_ghislaine21079p
21080G,michallet_damien21080g
21081H,khalife_khalife21081h
21082J,weber_michael21082j
21083K,cambier_guislain21083k
21084L,barros_pierre21084l
21085M,hochart_joshua21085m
21086N,fargeot_daniel21086n
21087P,lermytte_marie_claude21087p
21088Q,brossat_ian21088q
21089R,brossel_colombe21089r
21090J,carrere_gee_marie_claire21090j
21091K,evren_agnes21091k
21092L,guhl_antoinette21092l
21093M,jadot_yannick21093m
21094N,souyris_anne21094n
21095P,szpiner_francis21095p
21096Q,buval_frederic21096q
21097R,nadille_solanges21097r
21125C,bellamy_marie_jeanne21125c
21404G,briante_guillemont_sophie21404g
21415K,housseau_marie_lise21415k
21416L,vidal_paul21416l
21417M,lucot_avril_virginie21417m
21418N,olivier_jean_baptiste21418n
21419P,conte_jaubert_mireille21419p
21420G,perrion_maurice21420g
21421H,patru_anne_sophie21421h
21422J,ramia_salama21422j
21423K,dumoulin_eric21423k
21424L,hybert_brigitte21424l
21460Q,basquin_alexandre21460q
21461R,ruel_jean_marc21461r
21470S,delia_jean_marc21470s
21486B,margueritte_david21486b
21510H,sene_marc21510h
21512K,matray_paulette21512k
21514M,bessin_guerin_marie_pierre21514m
21534R,mouton_marie_pierre21534r
21584C,boileau_pierre21584c
21592C,paire_sandra21592c
86034E,larcher_gerard86034e
92040Q,nachbar_philippe92040q
95041E,joyandet_alain95041e
95063L,richard_alain95063l
96004D,bizet_jean96004d
97011G,fournier_bernard97011g
98018T,del_picchia_robert98018t
98022P,guerini_jean_noel98022p
99004R,karoutchi_roger99004r
