scrutin_ref,senateur_ref,position
senat-2020-1,14133K,pour
senat-2020-1,20032T,pour
senat-2020-1,11109J,pour
senat-2020-1,14189C,pour
senat-2020-1,19717B,pour
senat-2020-1,19631V,pour
senat-2020-1,04059M,pour
senat-2020-1,19515S,pour
senat-2020-1,20076G,pour
senat-2020-1,05008E,pour
senat-2020-1,19741B,pour
senat-2020-1,19667J,pour
senat-2020-1,19543W,pour
senat-2020-1,20024T,pour
senat-2020-1,20022R,pour
senat-2020-1,19954N,pour
senat-2020-1,19575F,pour
senat-2020-1,19549D,pour
senat-2020-1,20116W,pour
senat-2020-1,14030Q,pour
senat-2020-1,96004D,pour
senat-2020-1,17367Q,pour
senat-2020-1,20086J,pour
senat-2020-1,20094J,pour
senat-2020-1,19367Y,pour
senat-2020-1,14069U,pour
senat-2020-1,19415P,pour
senat-2020-1,20042V,pour
senat-2020-1,14089Y,pour
senat-2020-1,08060W,pour
senat-2020-1,20078J,pour
senat-2020-1,20138D,pour
senat-2020-1,19966S,pour
senat-2020-1,20088L,pour
senat-2020-1,14105F,pour
senat-2020-1,19643A,pour
senat-2020-1,19747H,pour
senat-2020-1,20114U,pour
senat-2020-1,20152B,pour
senat-2020-1,19383Y,pour
senat-2020-1,17737W,pour
senat-2020-1,20080C,pour
senat-2020-1,19621T,pour
senat-2020-1,04047H,pour
senat-2020-1,20090E,pour
senat-2020-1,14207L,pour
senat-2020-1,20104S,pour
senat-2020-1,14255U,pour
senat-2020-1,11101A,pour
senat-2020-1,04042C,pour
senat-2020-1,14053L,pour
senat-2020-1,14083S,pour
senat-2020-1,11053K,pour
senat-2020-1,19545Y,pour
senat-2020-1,20060X,pour
senat-2020-1,11103C,pour
senat-2020-1,12028B,pour
senat-2020-1,19629C,pour
senat-2020-1,19721W,pour
senat-2020-1,14329V,pour
senat-2020-1,14038Y,pour
senat-2020-1,11080N,pour
senat-2020-1,14195A,pour
senat-2020-1,08028W,pour
senat-2020-1,20144B,pour
senat-2020-1,19467C,pour
senat-2020-1,18083K,pour
senat-2020-1,19701S,pour
senat-2020-1,14267Y,pour
senat-2020-1,19295A,pour
senat-2020-1,11027H,pour
senat-2020-1,19681G,pour
senat-2020-1,11115U,pour
senat-2020-1,20070A,pour
senat-2020-1,14357A,pour
senat-2020-1,19525U,pour
senat-2020-1,04086Q,pour
senat-2020-1,19693L,pour
senat-2020-1,14259Y,pour
senat-2020-1,04008A,pour
senat-2020-1,17589D,pour
senat-2020-1,98018T,pour
senat-2020-1,11070L,pour
senat-2020-1,19719D,pour
senat-2020-1,14327T,pour
senat-2020-1,19663E,pour
senat-2020-1,20140W,pour
senat-2020-1,17229F,pour
senat-2020-1,10006L,pour
senat-2020-1,14041T,pour
senat-2020-1,14217N,pour
senat-2020-1,01024M,pour
senat-2020-1,19251M,pour
senat-2020-1,14215L,pour
senat-2020-1,19577H,pour
senat-2020-1,14042U,pour
senat-2020-1,04071H,pour
senat-2020-1,20124W,pour
senat-2020-1,20040T,pour
senat-2020-1,07033P,pour
senat-2020-1,20074E,pour
senat-2020-1,19507S,pour
senat-2020-1,14151M,pour
senat-2020-1,11074Q,pour
senat-2020-1,11110B,pour
senat-2020-1,14187A,pour
senat-2020-1,19673G,pour
senat-2020-1,20038A,pour
