texte_normalise,texte,categorie_id,categorie_label
déclaration du gouvernement,déclaration du Gouvernement,vie_politique_procedure,Vie politique & procédure institutionnelle
motion de censure,motion de censure,vie_politique_procedure,Vie politique & procédure institutionnelle
projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense,projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi autorisant l'approbation de la convention de coopération judiciaire internationale entre le gouvernement de la république française et l'organisation des nations unies représentée par le mécanisme d'enquête indépendant pour le myanmar,projet de loi autorisant l'approbation de la convention de coopération judiciaire internationale entre le Gouvernement de la République française et l'Organisation des Nations unies représentée par le Mécanisme d'enquête indépendant pour le Myanmar,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
"projet de loi autorisant la ratification de la convention n° 155 sur la sécurité et la santé des travailleurs, 1981","projet de loi autorisant la ratification de la convention n° 155 sur la sécurité et la santé des travailleurs, 1981",travail_economie_entreprises,"Travail, économie & entreprises"
projet de loi autorisant la ratification de la résolution lp.3 (4) portant amendement de l'article 6 du protocole de londres de 1966 à la convention de 1972 sur la prévention de la pollution des mers résultant de l'immersion de déchets et autres matières,projet de loi autorisant la ratification de la résolution LP.3 (4) portant amendement de l'article 6 du Protocole de Londres de 1966 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l'immersion de déchets et autres matières,ecologie_energie_climat,"Écologie, énergie & climat"
projet de loi autorisant la ratification de la résolution lp.3(4) portant amendement de l'article 6 du protocole de londres de 1996 à la convention de 1972 sur la prévention de la pollution des mers résultant de l'immersion de déchets et autres matières,projet de loi autorisant la ratification de la résolution LP.3(4) portant amendement de l’article 6 du Protocole de Londres de 1996 à la Convention de 1972 sur la prévention de la pollution des mers résultant de l’immersion de déchets et autres matières,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi autorisant la ratification du traité sur la coopération dans le domaine de la défense entre la république française et le royaume d'espagne,projet de loi autorisant la ratification du traité sur la coopération dans le domaine de la défense entre la République française et le Royaume d'Espagne,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi constitutionnelle pour une corse autonome au sein de la république,projet de loi constitutionnelle pour une Corse autonome au sein de la République,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi constitutionnelle relatif à la nouvelle-calédonie,projet de loi constitutionnelle relatif à la Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi d'approbation des comptes de la sécurité sociale de l'année 2023,projet de loi d'approbation des comptes de la sécurité sociale de l'année 2023,finances_fiscalite,Finances publiques & fiscalité
projet de loi d'orientation pour la souveraineté alimentaire et agricole et le renouvellement des générations en agriculture,projet de loi d'orientation pour la souveraineté alimentaire et agricole et le renouvellement des générations en agriculture,agriculture_alimentation,Agriculture & alimentation
projet de loi d'urgence pour la protection et la souveraineté agricoles,projet de loi d'urgence pour la protection et la souveraineté agricoles,agriculture_alimentation,Agriculture & alimentation
projet de loi d'urgence pour mayotte,projet de loi d'urgence pour Mayotte,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi de fin de gestion pour 2025,projet de loi de fin de gestion pour 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi de financement de la sécurité sociale pour 2025,projet de loi de financement de la sécurité sociale pour 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi de financement de la sécurité sociale pour 2026,projet de loi de financement de la sécurité sociale pour 2026,finances_fiscalite,Finances publiques & fiscalité
projet de loi de finances de fin de gestion pour 2024,projet de loi de finances de fin de gestion pour 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi de finances de fin de gestion pour 2025,projet de loi de finances de fin de gestion pour 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi de finances de fin des gestion pour 2024,projet de loi de finances de fin des gestion pour 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi de finances pour 2025,projet de loi de finances pour 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi de finances pour 2026,projet de loi de finances pour 2026,finances_fiscalite,Finances publiques & fiscalité
projet de loi de programmation pour la refondation de mayotte,projet de loi de programmation pour la refondation de Mayotte,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi de simplification de la vie économique,projet de loi de simplification de la vie économique,travail_economie_entreprises,"Travail, économie & entreprises"
projet de loi organique relatif au département-région de mayotte,projet de loi organique relatif au Département-Région de Mayotte,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi organique relatif au renforcement des juridictions criminelles,projet de loi organique relatif au renforcement des juridictions criminelles,securite_justice_ordre_public,"Sécurité, justice & ordre public"
projet de loi portant approbation des comptes de la sécurité sociale de l'année 2024,projet de loi portant approbation des comptes de la sécurité sociale de l'année 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi portant approbation des comptes de la sécurité sociale de l'année 2025,projet de loi portant approbation des comptes de la sécurité sociale de l'année 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi portant création de l'établissement public du commerce et de l'industrie de corse,projet de loi portant création de l'établissement public du commerce et de l'industrie de Corse,travail_economie_entreprises,"Travail, économie & entreprises"
"projet de loi portant diverses dispositions d'adaptation au droit de l'union européenne en matière économique, financière, environnementale, énergétique, de santé et de circulation des personnes","projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique, financière, environnementale, énergétique, de santé et de circulation des personnes",defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
"projet de loi portant diverses dispositions d'adaptation au droit de l'union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes","projet de loi portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes",defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
"projet de loi portant habilitation de l'assemblée de martinique à fixer des règles applicables sur son territoire en application de l'article 73 de la constitution en matière d'énergie, d'eau et d'assainissement","projet de loi portant habilitation de l'assemblée de Martinique à fixer des règles applicables sur son territoire en application de l'article 73 de la Constitution en matière d'énergie, d'eau et d'assainissement",institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
