texte_normalise,texte,categorie_id,categorie_label
déclaration du gouvernement,déclaration du Gouvernement,vie_politique_procedure,Vie politique & procédure institutionnelle
projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense,projet de loi actualisant la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la république française et le gouvernement de la république du kazakhstan sur la réadmission des personnes,projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République du Kazakhstan sur la réadmission des personnes,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi autorisant la ratification de l'accord se rapportant à la convention des nations unies sur le droit de la mer et portant sur la conservation et l'utilisation durable de la diversité biologique marine des zones ne relevant pas de la juridiction nationale,projet de loi autorisant la ratification de l'accord se rapportant à la convention des Nations unies sur le droit de la mer et portant sur la conservation et l'utilisation durable de la diversité biologique marine des zones ne relevant pas de la juridiction nationale,defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi autorisant la ratification du protocole au traité de l'atlantique nord sur l'accession de la république de finlande et la ratification du protocole au traité de l'atlantique nord sur l'accession du royaume de suède (procédure accélérée),projet de loi autorisant la ratification du protocole au Traité de l'Atlantique Nord sur l'accession de la République de Finlande et la ratification du protocole au Traité de l'Atlantique Nord sur l'accession du Royaume de Suède (procédure accélérée),defense_europe_affaires_etrangeres,"Défense, Europe & affaires étrangères"
projet de loi constitutionnelle portant modification du corps électoral pour les élections au congrès et aux assemblées de province de la nouvelle-calédonie,projet de loi constitutionnelle portant modification du corps électoral pour les élections au congrès et aux assemblées de province de la Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi constitutionnelle relatif à la liberté de recourir à l'interruption volontaire de grossesse,projet de loi constitutionnelle relatif à la liberté de recourir à l'interruption volontaire de grossesse,sante_fin_de_vie,Santé & fin de vie
projet de loi constitutionnelle relatif à la nouvelle-calédonie,projet de loi constitutionnelle relatif à la Nouvelle-Calédonie,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
"projet de loi constitutionnelle, adopté par l'assemblée nationale en deuxième lecture, complétant l'article 1er de la constitution et relatif à la préservation de l'environnement","projet de loi constitutionnelle, adopté par l'Assemblée nationale en deuxième lecture, complétant l'article 1er de la Constitution et relatif à la préservation de l'environnement",ecologie_energie_climat,"Écologie, énergie & climat"
"projet de loi constitutionnelle, adopté par l'assemblée nationale, complétant l'article 1er de la constitution et relatif à la préservation de l'environnement","projet de loi constitutionnelle, adopté par l'Assemblée nationale, complétant l'article 1er de la Constitution et relatif à la préservation de l'environnement",ecologie_energie_climat,"Écologie, énergie & climat"
projet de loi d'approbation des comptes de la sécurité sociale de l'année 2023,projet de loi d'approbation des comptes de la sécurité sociale de l'année 2023,finances_fiscalite,Finances publiques & fiscalité
projet de loi d'approbation des comptes de la sécurité sociale de l'année 2024,projet de loi d'approbation des comptes de la sécurité sociale de l'année 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi d'approbation des comptes de la sécurité sociale pour l'année 2022,projet de loi d'approbation des comptes de la sécurité sociale pour l'année 2022,finances_fiscalite,Finances publiques & fiscalité
projet de loi d'orientation et de programmation du ministère de l'intérieur (procédure accélérée),projet de loi d'orientation et de programmation du ministère de l'intérieur (procédure accélérée),securite_justice_ordre_public,"Sécurité, justice & ordre public"
projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (procédure accélérée),projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (procédure accélérée),securite_justice_ordre_public,"Sécurité, justice & ordre public"
projet de loi d'orientation pour la souveraineté alimentaire et agricole et le renouvellement des générations en agriculture,projet de loi d'orientation pour la souveraineté alimentaire et agricole et le renouvellement des générations en agriculture,agriculture_alimentation,Agriculture & alimentation
projet de loi d'urgence pour la protection et la souveraineté agricoles,projet de loi d'urgence pour la protection et la souveraineté agricoles,agriculture_alimentation,Agriculture & alimentation
projet de loi d'urgence pour mayotte,projet de loi d'urgence pour Mayotte,institutions_collectivites_outre_mer,"Institutions, collectivités & outre-mer"
projet de loi de financement de la sécurité sociale pour 2024,projet de loi de financement de la sécurité sociale pour 2024,finances_fiscalite,Finances publiques & fiscalité
projet de loi de financement de la sécurité sociale pour 2025,projet de loi de financement de la sécurité sociale pour 2025,finances_fiscalite,Finances publiques & fiscalité
projet de loi de financement de la sécurité sociale pour 2026,projet de loi de financement de la sécurité sociale pour 2026,finances_fiscalite,Finances publiques & fiscalité
"projet de loi de financement de la sécurité sociale, adopté par l'assemblée nationale en nouvelle lecture, pour 2021","projet de loi de financement de la sécurité sociale, adopté par l'Assemblée nationale en nouvelle lecture, pour 2021",finances_fiscalite,Finances publiques & fiscalité
